Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seconds,time_signature,Class
41.0,0.644,0.891,2.0,-5.147,1,0.0526,0.00111,0.00798,0.118,0.504,110.007,239.488,4,10
62.0,0.467,0.432,7.0,-11.753,1,0.0283,0.175,0.001,0.226,0.238,142.642,271.333,4,10
41.2,0.514,0.387,6.0,-10.6982121712168,0,0.06860000000000001,0.0753,0.237285488,0.0485,0.461,84.112,186.812,4,5
38.4,0.381,0.214,4.0,-13.9635889730464,1,0.03978,0.944,0.38658,0.106,0.393,127.581,215.16,3,Other
60.0,0.762,0.516,5.0,-9.108452313817597,0,0.0435,0.0288,0.15800057399999998,0.0966,0.721,156.97,158.0,4,5
47.6,0.357,0.943,4.0,-4.874768134679201,0,0.07306,0.000547,0.14226151999999997,0.145,0.482,147.217,209.68200000000002,4,10
43.4,0.576,0.931,7.0,-5.036688675229595,1,0.04098,0.00085,0.000251638,0.143,0.735,133.986,245.747,4,10
53.6,0.61,0.482,5.0,-9.4780050459808,1,0.05344000000000001,0.299,0.147846,0.0527,0.869,73.628,147.013,4,9
24.0,0.491,0.504,4.0,-13.581,0,0.0566,0.625,0.794,0.222,0.145,159.911,258.771,4,6
25.0,0.117,0.916,1.0,-3.281,1,0.0723,1.39e-5,0.0992,0.219,0.423,151.886,270.205,4,1
63.0,0.86,0.668,7.0,-8.512,1,0.221,0.423,1.85e-6,0.096,0.237,128.096,240.0,4,9
22.0,0.766,0.526,10.0,-11.819,1,0.0392,0.784,0.000214,0.0879,0.934,141.631,238.0,4,10
42.6,0.529,0.621,11.0,-8.1093153538216,1,0.030179999999999995,0.13,0.089648656,0.173,0.617,97.189,148.9069998,4,9
55.0,0.697,0.919,7.0,-6.174,1,0.029,0.00694,0.0621,0.203,0.943,118.341,256.4,4,6
28.0,0.407,0.932,11.0,-6.252,1,0.113,0.00363,0.346,0.229,0.173,102.954,235.214,4,8
55.0,0.564,0.753,5.0,-5.223,1,0.0433,0.00512,2.43e-6,0.167,0.414,152.064,212.547,4,10
44.0,0.744,0.928,10.0,-5.628,0,0.0495,0.000409,0.624,0.132,0.507,123.014,171.12,4,6
34.6,0.539,0.788,9.0,-6.6315451234432,0,0.06204,0.0089,0.05934366,0.29,0.357,159.986,196.173,4,10
11.0,0.431,0.967,1.0,-4.555,1,0.114,0.00159,0.0064,0.142,0.179,146.623,269.44,4,6
50.0,0.545,0.919,2.0,-5.193361879050396,1,0.0483,0.00269,0.00512,0.0978,0.386,104.364,313.573,4,10
58.0,0.266,0.294,7.0,-12.2528583385504,0,0.08136,0.771,0.14898054,0.1654,0.0397,137.941,164.72490755666658,3,9
32.4,0.645,0.329,2.0,-11.618566900938397,1,0.07804,0.239,0.160896,0.375,0.184,128.099,212.74999997999998,4,Other
43.0,0.508,0.912,2.0,-5.282429518796796,1,0.0861,9.75e-5,0.022276688,0.24614000000000003,0.533,139.381,247.22220000000002,4,10
42.0,0.579,0.661,7.0,-4.011,1,0.0422,0.0675,0.000373,0.303,0.374,144.909,287.467,3,10
35.4,0.521,0.527,2.0,-8.9948196220648,1,0.0296,0.0931,0.0244,0.106,0.273,122.271,259.627,4,10
16.0,0.426,0.619,4.0,-11.501,0,0.0722,8.44e-5,0.00239,0.17,0.382,162.721,168.43999979999998,4,10
47.0,0.449,0.854,3.0,-8.261,1,0.0431,4.62e-5,0.016,0.246,0.408,152.142,309.827,4,8
48.8,0.698,0.609,2.0,-8.2160098814824,1,0.043739999999999994,0.743,2.7340000000000003e-5,0.23419999999999996,0.665,131.057,110.92817946333341,4,2
34.4,0.54,0.425,5.0,-10.172272262499998,0,0.07748000000000001,0.428,0.109597414,0.218,0.239,88.047,220.543,4,9
45.6,0.691,0.231,11.0,-13.567184519869597,1,0.07498,0.815,0.06479718,0.103,0.298,85.153,200.613,4,Other
57.0,0.58,0.551,9.0,-9.898,0,0.0582,0.181,0.00719,0.15,0.516,115.896,201.213,4,10
42.0,0.565,0.754,8.0,-11.636,0,0.0344,0.678,0.0442,0.0756,0.922,135.01,363.333,3,Other
47.4,0.616,0.551,7.0,-8.755573928125598,1,0.056900000000000006,0.155,0.0064886399999999995,0.099,0.618,75.027,216.373,4,10
55.4,0.546,0.878,7.0,-5.692433772611196,1,0.04834,0.0133,0.0038700000000000006,0.135,0.35,119.945,255.4,4,1
50.0,0.618,0.215,2.0,-12.8,1,0.04,0.759,0.00962,0.109,0.214,90.004,290.466,4,1
57.0,0.639,0.859,1.0,-3.923,1,0.0554,0.18,0.000499,0.0798,0.523,115.97,270.104,4,10
60.0,0.577,0.676,8.0,-11.931,1,0.0295,0.000895,2.29e-6,0.0625,0.676,95.98,245.267,4,8
52.0,0.551,0.233,6.0,-13.521770308247198,0,0.0312,0.71,0.000949,0.11,0.659,89.574,165.187,4,6
28.0,0.454,0.387,2.0,-10.159,0,0.0417,0.406,0.00099,0.0783,0.686,97.995,205.53300000000002,4,10
51.4,0.632,0.8,5.0,-6.516095199999999,0,0.06364,0.547,0.13388181999999998,0.147,0.496,92.757,209.833,4,5
56.0,0.295,0.715,2.0,-6.533,1,0.0709,0.00212,1.55e-6,0.242,0.242,86.937,199.773,4,10
41.8,0.77,0.656,10.0,-7.803682656409598,0,0.036559999999999995,0.11,0.066758786,0.0793,0.788,98.82,253.413,4,5
45.0,0.717,0.245,7.0,-10.908,0,0.0493,0.665,0.000119,0.385,0.502,83.554,214.933,4,2
42.0,0.778,0.399,1.0,-10.526056092234398,1,0.04198,0.0751,0.028928,0.103,0.321,137.305,67.72,4,1
48.0,0.438,0.951,7.0,-5.192,0,0.0736,4.63e-5,0.233,0.351,0.461,165.088,212.927,4,8
10.0,0.451,0.776,3.0,-11.756,0,0.0587,0.0518,0.703,0.11,0.609,177.953,331.30400000000003,4,6
38.0,0.617,0.375,5.0,-11.889,0,0.0319,0.742,0.513,0.109,0.117,151.983,387.547,4,1
57.8,0.565,0.768,2.0,-6.818961325619197,0,0.0523,0.0277,0.068192,0.0725,0.58,124.006,223.907,4,8
32.0,0.62,0.835,9.0,-6.711,0,0.0319,0.273,0.00339,0.113,0.699,99.022,225.072,4,9
69.0,0.589,0.797,9.0,-5.464,1,0.15,0.0289,4.35e-6,0.383,0.232,102.489,291.813,4,10
38.0,0.443,0.858,8.0,-6.935,1,0.0378,0.000843,0.00243,0.18,0.34,169.951,301.533,4,8
49.0,0.605,0.162,4.0,-15.297532274396799,0,0.03498,0.98,0.16756997199999998,0.104,0.126,95.576,344.11300002,3,Other
30.0,0.624,0.26,1.0,-11.64,1,0.0621,0.904,0.0263,0.0825,0.551,51.0,156.933,4,2
45.6,0.513,0.658,6.0,-7.786381680707196,0,0.04282,0.512,0.008983660000000001,0.21,0.698,145.896,190.87999998,4,Other
71.0,0.533,0.905,2.0,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,170.8129998,4,10
21.0,0.588,0.747,7.0,-6.064,1,0.0498,0.116,7.2e-5,0.244,0.263,138.067,249.0,4,10
23.0,0.487,0.975,11.0,-4.974,1,0.105,7.47e-5,0.0183,0.201,0.526,139.964,202.019,4,8
30.0,0.621,0.375,5.0,-11.8,1,0.0297,0.701,1.2e-6,0.122,0.508,132.611,219.625,4,9
39.0,0.482,0.829,5.0,-6.226074295338396,1,0.0374,0.00034,0.14818639400000003,0.378,0.739,147.99,212.30700000000002,4,10
68.6,0.369,0.424,7.0,-10.1854149996544,1,0.04278,0.64,0.35334784599999997,0.184,0.181,179.597,203.991,4,9
36.4,0.552,0.673,9.0,-7.656872857175199,0,0.05898,0.00553,0.0068651799999999985,0.114,0.174,89.993,224.053,4,6
34.0,0.548,0.347,7.0,-14.7,0,0.0362,0.771,0.00175,0.124,0.498,117.75,414.213,4,Other
49.0,0.421,0.935,8.0,-5.153,0,0.0697,0.000442,0.000212,0.1,0.455,165.02,261.24,4,10
30.0,0.524,0.336,2.0,-8.034,1,0.0415,0.841,0.00118,0.111,0.458,110.964,285.47299998,5,Other
65.0,0.436,0.876,10.0,-4.902,0,0.0647,3.33e-5,0.000104,0.205,0.512,157.044,255.08,4,1
47.4,0.5,0.47,2.0,-9.615795878800002,1,0.06162000000000001,0.642,0.22136999999999998,0.19119999999999998,0.346,158.809,219.2852,4,10
69.2,0.705,0.756,9.0,-6.928813212889599,0,0.07468,0.00477,0.04788,0.0892,0.846,129.98,141.875,4,10
41.0,0.825,0.781,9.0,-4.732,0,0.107,0.0833,3.55e-5,0.26,0.812,100.013,176.012,4,9
48.0,0.657,0.535,1.0,-9.715,1,0.047,0.000329,0.000492,0.318,0.738,132.257,188.83,4,8
51.2,0.58,0.93,1.0,-5.049941789200002,1,0.04686,0.0128,0.0014244320000000002,0.102,0.534,97.917,144.267,4,8
46.0,0.621,0.602,9.0,-8.278868896604799,0,0.041600000000000005,0.000316,0.013751030000000003,0.134,0.609,116.011,230.15200000000002,4,6
19.0,0.754,0.92,3.0,-4.484,0,0.05,0.183,0.689,0.187,0.966,147.998,266.133,4,1
41.0,0.881,0.636,4.0,-13.617,0,0.156,0.0257,0.000257,0.207,0.616,108.863,259.427,4,5
58.0,0.282,0.932,9.0,-4.701,1,0.0387,0.12,0.0335,0.0692,0.536,190.08,255.893,4,10
32.0,0.449,0.958,6.0,-6.602,0,0.123,5.33e-6,0.000116,0.148,0.389,107.458,129.373,4,6
37.0,0.548,0.709,9.0,-6.557,0,0.0273,0.00678,3.82e-6,0.104,0.191,119.998,224.213,4,10
28.8,0.65,0.6,9.0,-8.296921600000001,0,0.051759999999999994,0.0278,0.31801336,0.2138,0.795,110.016,180.203,4,10
39.0,0.494,0.969,6.0,-2.694,1,0.222,0.172,0.00158,0.148,0.165,121.214,169.808,4,10
42.0,0.761,0.707,5.0,-6.208,0,0.0356,0.68,0.421,0.0969,0.893,113.976,208.421,4,6
39.0,0.553,0.939,3.0,-4.04,0,0.0795,0.000833,0.000181,0.404,0.369,124.984,198.84,4,8
30.0,0.417,0.355,2.0,-11.1870340777,1,0.03862,0.847,0.12927448,0.1619,0.0914,86.078,76.2456798666666,4,9
53.0,0.824,0.489,9.0,-9.399486021066402,0,0.07524,0.302,0.10673156000000002,0.0887,0.771,86.815,160.25,4,1
36.6,0.349,0.336,4.0,-11.499192586393598,1,0.054759999999999996,0.723,0.14478788000000004,0.154,0.062,112.966,111.765,5,6
31.8,0.921,0.768,7.0,-6.818961325619197,1,0.06342,0.507,0.00017539999999999998,0.1806,0.775,103.713,167.792,4,5
33.0,0.601,0.728,4.0,-10.469,1,0.0436,0.378,0.726,0.368,0.862,137.99,305.613,3,Other
30.0,0.353,0.495,8.0,-11.503,1,0.0344,0.000119,0.0119,0.13,0.567,81.018,360.6,4,2
47.2,0.748,0.551,11.0,-8.755573928125598,1,0.047299999999999995,0.235,0.2180448,0.119,0.66,103.953,144.53299998,4,Other
23.0,0.15,0.843,9.0,-8.369,1,0.0439,0.000127,0.502,0.665,0.729,180.034,145.93200000000002,4,1
47.0,0.774,0.64,2.0,-7.949,1,0.0333,0.743,0.0316,0.088,0.947,136.226,187.933,4,1
28.0,0.373,0.964,11.0,-7.925,0,0.0798,0.000152,0.791,0.109,0.207,83.958,312.363,4,8
43.0,0.42,0.831,7.0,-9.069,1,0.0754,0.00028,0.0711,0.153,0.752,120.867,218.173,4,10
46.4,0.428,0.98,11.0,-4.3398467152,0,0.05269999999999999,0.0734,6.774400000000001e-5,0.127,0.423,92.035,168.654,4,5
49.0,0.616,0.91,2.0,-5.307571747600001,1,0.07302,0.0459,0.0035145600000000008,0.18732,0.693,144.072,182.6335580866666,4,10
90.0,0.797,0.631,3.0,-3.818,0,0.0786,0.0904,3.71e-6,0.0998,0.288,129.915,184.2130002,4,9
20.0,0.418,0.761,9.0,-8.285,1,0.0557,0.295,1.37e-6,0.36,0.467,152.472,298.693,4,10
42.4,0.563,0.664,9.0,-7.734535816806401,1,0.0727,0.335,0.055655659999999996,0.0849,0.688,166.928,178.1470002,4,9
48.0,0.463,0.847,11.0,-6.037033861808796,0,0.04376000000000001,0.0307,0.0338584,0.117,0.625,114.962,187.78300000000002,4,9
75.0,0.749,0.535,4.0,-6.785,1,0.0336,0.0131,3.65e-5,0.0982,0.601,123.042,196.607,4,9
39.2,0.709,0.337,7.0,-11.482334566256798,1,0.05586,0.447,0.00986829,0.13998,0.387,68.0,320.333,4,5
33.0,0.283,0.41,4.0,-14.35,1,0.0423,0.00106,0.287,0.109,0.0612,91.127,323.43,4,10
75.0,0.653,0.964,9.0,-4.261,0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209.267,4,9
57.0,0.45,0.914,6.0,-6.741,1,0.0647,0.0106,8.18e-5,0.101,0.336,124.42,208.293,4,10
51.0,0.522,0.881,7.0,-5.231,1,0.0847,0.00303,0.000147,0.0939,0.369,130.084,232.20000000000002,4,10
44.0,0.266,0.831,4.0,-6.205434890749602,1,0.06902,0.000862,0.003790234,0.0555,0.778,175.514,163.693,4,10
29.2,0.754,0.795,7.0,-6.564495295299997,0,0.05439999999999999,0.0186,0.018262238000000004,0.0852,0.21,122.007,259.606,4,9
52.0,0.562,0.494,4.0,-8.13,0,0.0278,0.864,0.0259,0.153,0.383,144.104,215.516,4,9
31.4,0.163,0.191,10.0,-14.5303968025576,1,0.04198,0.937,0.00479204,0.0961,0.0335,105.104,220.63,3,1
50.4,0.823,0.66,1.0,-7.7690909775999994,1,0.03998,0.00681,0.0008596,0.17568,0.956,114.489,230.3384,4,9
38.0,0.65,0.63,11.0,-6.787,0,0.04,0.278,8.55e-5,0.119,0.74,107.69,218.747,4,2
57.0,0.475,0.844,1.0,-4.448,0,0.0622,0.00012,0.111,0.221,0.554,156.136,246.933,4,10
35.0,0.375,0.927,6.0,-5.385,0,0.123,0.000111,8.99e-6,0.193,0.414,183.998,183.04,4,8
38.0,0.713,0.146,3.0,-15.7469948576416,1,0.04698,0.784,0.304637814,0.212,0.474,89.267,66.49,5,5
39.8,0.676,0.537,10.0,-8.893757234096798,1,0.04723999999999999,0.51,0.010720444,0.0898,0.388,88.001,181.56900000000002,4,9
72.0,0.667,0.755,9.0,-7.246,1,0.069,0.0966,6.94e-5,0.0523,0.883,109.535,286.2199998,4,10
48.6,0.408,0.943,2.0,-4.874768134679201,1,0.041260000000000005,0.0058,0.017964262,0.2766,0.16,98.089,206.3386,4,8
33.0,0.494,0.958,4.0,-7.765,0,0.0511,0.0361,0.000226,0.387,0.313,145.055,352.943,4,8
32.0,0.425,0.925,7.0,-6.246,1,0.105,2.22e-5,0.0723,0.0973,0.313,118.066,282.978,4,8
29.0,0.605,0.772,1.0,-6.679,0,0.0262,0.298,1.96e-5,0.131,0.836,129.99,280.36,4,10
41.6,0.586,0.795,11.0,-6.564495295299997,1,0.04868,0.354,0.030613922,0.187,0.694,94.101,314.6,4,5
31.2,0.939,0.682,11.0,-7.579244310620802,1,0.049819999999999996,0.00152,0.1712802,0.0552,0.584,130.022,154.806,4,9
52.0,0.472,0.826,9.0,-3.938,0,0.0594,0.000617,0.000713,0.187,0.132,122.326,385.92,4,10
43.2,0.349,0.981,2.0,-4.324596573469599,0,0.08176,2.58e-5,0.30032031000000003,0.343,0.207,160.042,202.64000000000001,4,10
58.0,0.645,0.732,3.0,-5.089,1,0.0453,0.00853,2.62e-5,0.198,0.708,95.02,162.97300001999997,4,Other
15.0,0.522,0.769,10.0,-5.841,0,0.191,0.104,0.000114,0.0643,0.793,189.803,240.30700000000002,4,10
39.0,0.621,0.962,2.0,-6.469,1,0.0454,0.282,0.126,0.132,0.653,143.99,229.489,4,6
33.0,0.597,0.617,8.0,-8.144742324272801,0,0.08510000000000001,0.463,2.4802e-5,0.66,0.889,97.923,275.52,4,9
27.0,0.688,0.544,7.0,-11.393,0,0.037,0.576,0.000231,0.0894,0.633,135.231,240.693,4,10
61.0,0.614,0.614,4.0,-7.497,0,0.0314,0.104,3.59e-5,0.104,0.598,146.03,192.67999998,4,Other
52.2,0.613,0.86,4.0,-5.895628513599993,1,0.03894,0.0247,0.04400212,0.438,0.638,93.042,177.227,4,10
