loudness;energy;acousticness
-4,851;0,823;0,0029
-9,119;0,532;0,432
-6,642;0,659;0,00219
-4,633;0,925;0,000254
-6,018;0,631;0,131
-4,78;0,819;0,00741
-7,196;0,54;0,625
-3,498;0,949;0,14
-12,175;0,577;0,0796
-7,705;0,567;0,872
-6,237;0,823;0,0554
-10,419;0,657;0,00843
-3,887;0,754;0,324
-12,146;0,659;0,0321
-7,264;0,832;0,168
-5,942;0,913;0,13
-5,251;0,958;2,46e-5
-5,852;0,722;0,47
-6,537;0,696;0,0887
-6,869;0,717;0,00417
-9,581;0,762;0,792
-5,978;0,703;0,0193
-5,987;0,552;0,00661
-4,028;0,991;0,000289
-4,956;0,975;3,07e-5
-7,998;0,773;0,188
-4,609;0,948;8,85e-6
-4,835;0,862;2,49e-5
-8,974;0,223;0,995
-10,133;0,51;0,176
-7,047;0,606;0,159
-4,758;0,815;0,00172
-9,305;0,667;0,043
-10,579;0,657;0,0687
-6,261;0,668;0,00405
-8,288;0,746;0,0271
-5,607;0,852;0,0175
-6,402;0,488;0,257
-4,933;0,821;0,346
-7,754;0,948;0,000662
-8,258;0,622;0,213
-6,649;0,299;0,853
-12,101;0,285;0,994
-8,193;0,674;0,139
-7,384;0,861;0,0114
-7,052;0,94;0,000126
-5,405;0,798;0,00677
-4,643;0,938;0,0052
-5,603;0,784;0,194
-6,437;0,805;0,000595
-7,63;0,547;0,739
-5,948;0,583;0,114
-15,944;0,208;0,96
-10,845;0,796;0,00361
-6,796;0,522;0,734
-13,379;0,601;0,137
-7,853;0,777;0,000207
-11,79;0,387;0,216
-7,271;0,692;0,00149
-8,875;0,632;0,139
-10,051;0,528;0,044
-6,101;0,699;0,475
-7,39;0,839;0,459
-10,507;0,439;0,43
-9,068;0,663;0,0945
-7,902;0,666;0,176
-6,951;0,666;0,00784
-9,615;0,5;0,0957
-10,084;0,338;0,328
-6,852;0,7;0,142
-5,197;0,901;0,00555
-4,845;0,875;0,000417
-6,387;0,636;0,0386
-10,625;0,264;0,874
-10,49;0,559;0,854
-4,91;0,872;0,0018
-4,544;0,767;0,0679
-7,154;0,543;0,0852
-7,31;0,792;0,00708
-10,887;0,446;0,908
-5,483;0,811;0,27
-4,574;0,933;4,82e-6
-7,426;0,648;0,37
-7,477;0,77;0,000483
-4,926;0,759;0,0169
-5,726;0,938;0,000733
-13,495;0,504;0,974
-6,958;0,632;0,0245
-5,041;0,86;0,128
-6,901;0,736;0,000146
-6,98;0,885;0,0014
-10,723;0,364;0,877
-7,51;0,85;5,37e-5
-4,261;0,849;0,0862
-7,93;0,428;0,685
-10,759;0,749;0,00883
-4,881;0,921;0,000141
-3,398;0,669;5,07e-5
-6,454;0,654;0,0296
-6,235;0,96;0,0281
-11,706;0,429;0,183
-3,339;0,62;0,0129
-7,309;0,736;0,000689
-11,56;0,57;0,497
-8,144;0,927;6,9e-5
-3,789;0,949;4,2e-5
-7,165;0,706;0,00782
-4,956;0,969;4,59e-6
-5,611;0,576;0,362
-11,016;0,507;0,029
-4,738;0,807;0,000696
-6,192;0,775;0,00796
-13,913;0,647;0,595
-12,477;0,596;0,00658
-4,574;0,626;0,00748
-5,252;0,604;0,367
-4,43;0,908;0,0023
-10,043;0,572;0,242
-5,567;0,924;0,00156
-5,861;0,853;7,44e-5
-4,245;0,949;0,000283
-8,81;0,67;0,009
-15,002;0,231;0,451
-15,33;0,14;0,983
-8,907;0,405;0,00157
-6,913;0,767;0,000401
-7,257;0,584;0,0435
-9,119;0,5;0,677
-9,152;0,913;0,00015
-10,054;0,338;0,652
-14,217;0,58;0,589
-4,647;0,931;0,0296
-9,119;0,532;0,432
-5,476;0,764;0,00705
-5,953;0,676;0,000364
-7,144;0,456;0,789
-9,778;0,63;0,0129
-9,517;0,505;0,22
-5,735;0,786;0,00321
-3,705;0,96;0,000175
-9,936;0,693;0,546
-7,282;0,571;0,00995
-6,866;0,802;0,00192
-8,549;0,359;0,681
-3,407;0,974;0,000625
-5,833;0,928;0,189
-8,005;0,3;0,578
-2,672;0,96;9,25e-5
-7,902;0,917;9,12e-5
-11,026;0,28;0,955
-10,865;0,795;0,00772
-10,242;0,313;0,835
-7,227;0,523;0,00536
-8,544;0,95;1,5e-5
-6,083;0,818;0,00335
-8,303;0,744;8,44e-5
-5,492;0,622;0,536
-8,22;0,774;0,0266
-3,675;0,987;0,000403
-5,182;0,631;0,126
-9,511;0,63;0,0663
-4,252;0,943;0,000119
-5,373;0,853;0,132
-9,61;0,532;0,555
-10,309;0,69;0,0553
-13,137;0,444;0,488
-6,445;0,835;0,0466
-10,538;0,457;0,627
-4,793;0,913;0,061
-9,782;0,361;0,631
-10,083;0,523;0,326
-7,194;0,589;0,75
-4,936;0,956;7,25e-5
-3,548;0,983;9,62e-5
-10,248;0,448;0,027
-9,227;0,367;0,878
-6,698;0,622;0,266
-4,967;0,85;0,000554
-6,067;0,942;3,9e-5
-4,535;0,776;0,00238
-6,215;0,852;0,214
-7,742;0,458;0,216
-8,703;0,58;0,506
-3,398;0,934;0,00604
-4,581;0,896;0,144
-8,513;0,526;0,0069
-12,064;0,603;0,22
-4,724;0,948;0,00018
-5,426;0,893;0,00027
-10,572;0,414;0,524
-11,384;0,313;0,289
-7,372;0,693;0,603
-2,533;0,95;0,000482
-11,709;0,477;0,77
-2,521;0,993;0,00104
-4,921;0,909;0,00202
-4,001;0,905;0,36
-10,429;0,463;0,609
-3,963;0,979;8,44e-6
-9,472;0,61;0,00144
-9,916;0,736;0,274
-10,011;0,806;0,124
-12,272;0,266;0,958
-4,903;0,675;0,414
-6,414;0,771;0,276
-12,523;0,503;0,116
-7,21;0,776;0,00237
-7,68;0,809;0,33
-6,894;0,875;7,69e-6
-5,762;0,648;0,0114
-8,121;0,551;0,194
-7,322;0,939;0,000633
-6,719;0,763;0,00154
-5,365;0,864;0,13
-12,226;0,585;0,000604
-13,188;0,243;0,3
-11,4;0,327;0,858
-7,271;0,415;0,571
-7,545;0,654;0,337
-5,143;0,967;0,00364
-3,65;0,883;0,00201
-8,644;0,897;3,06e-5
-3,761;0,952;1,23e-5
-10,708;0,415;0,879
-6,354;0,883;0,000123
-5,735;0,766;0,0406
-3,311;0,896;0,173
-8,295;0,609;0,0232
-5,89;0,431;0,912
-13,45;0,47;0,747
-5,989;0,844;0,00329
-8,643;0,407;0,566
-13,286;0,262;0,978
-6,046;0,92;0,00105
-14,248;0,331;0,653
-4,261;0,984;2,29e-5
-14,216;0,369;0,0291
-5,047;0,749;0,000466
-5,659;0,824;0,0516
-10,344;0,303;0,838
-3,321;0,898;0,000219
-7,376;0,593;0,396
-9,587;0,516;0,289
-5,552;0,658;0,0103
-8,937;0,753;0,425
-8,3;0,289;0,88
-3,167;0,968;0,00429
-8,981;0,254;0,59
-8,07;0,637;0,272
-6,92;0,612;0,314
-2,368;0,926;0,00195
-4,505;0,943;0,000132
-9,954;0,884;0,02
-11,265;0,455;0,813
-6,973;0,57;0,71
-11,612;0,224;0,896
-14,196;0,355;0,0951
-4,326;0,964;0,000114
-8,275;0,619;0,0871
-8,762;0,952;0,0169
-7,247;0,729;0,000413
-2,939;0,843;0,0279
-2,793;0,845;0,286
-5,399;0,943;7,95e-5
-7,761;0,593;0,385
-8,145;0,813;0,0949
-11,856;0,581;0,513
-7,001;0,7;0,413
-8,795;0,423;0,0916
-11,063;0,401;0,128
-5,009;0,913;0,00683
-12,608;0,22;0,828
-11,178;0,634;0,116
-7,567;0,578;0,67
-12,217;0,2;0,755
-9,81;0,617;0,0209
-3,339;0,988;6,02e-5
-11,09;0,903;0,211
-10,072;0,848;0,0273
-9,142;0,708;0,101
-3,274;0,866;3,03e-5
-3,899;0,984;3,41e-5
-3,658;0,961;0,172
-5,773;0,944;5,68e-5
-2,43;0,761;0,00127
-8,634;0,642;0,421
-6,188;0,655;0,00473
-6,187;0,895;0,00416
-8,545;0,358;0,309
-7,085;0,56;0,195
-9,886;0,74;0,286
-8,039;0,682;0,000894
-8,86;0,342;0,748
-7,273;0,547;0,346
-4,679;0,925;7,37e-5
-4,61;0,776;0,0731
-6,873;0,761;0,000596
-6,941;0,795;0,00406
-4,85;0,932;0,0024
-3,139;0,962;1,66e-5
-12,232;0,494;0,234
-9,004;0,591;0,319
-4,923;0,884;0,135
-6,341;0,804;0,00546
-9,223;0,635;0,219
-11,607;0,456;0,104
-4,905;0,97;2,02e-5
-2,512;0,896;0,0598
-2,926;0,913;0,00364
-3,913;0,832;0,00154
-9,948;0,78;0,0114
-12,476;0,401;0,297
-8,118;0,749;0,00796
-6,416;0,338;0,665
-7,124;0,461;0,00107
-5,874;0,823;0,00784
-3,309;0,856;0,00118
-6,244;0,949;0,00038
-6,237;0,805;0,00255
-7,694;0,339;0,784
-9,946;0,376;0,47
-3,894;0,831;0,000127
-7,073;0,783;0,0533
-6,799;0,606;0,0134
-11,541;0,422;0,405
-5,413;0,598;0,0146
-4,845;0,977;0,00187
-4,975;0,568;0,295
-2,637;0,955;0,000127
-5,955;0,7;0,561
-9,565;0,705;0,0446
-7,104;0,609;0,0219
-3,369;0,969;0,0287
-9,159;0,779;0,573
-3,771;0,841;0,355
-9,072;0,314;0,924
-6,239;0,863;0,0157
-6,789;0,504;0,351
-4,099;0,881;0,00134
-5,956;0,903;0,0477
-11,808;0,575;0,0818
-8,937;0,649;0,334
-10,833;0,8;0,00676
-3,848;0,957;0,000525
-4,462;0,835;0,000105
-11,221;0,513;0,00447
-4,882;0,978;5,51e-5
-8,196;0,997;0,193
-8,301;0,663;0,237
-3,541;0,701;0,235
-7,922;0,535;0,509
-7,407;0,595;0,161
-5,886;0,815;0,00799
-10,167;0,869;0,0978
-12,424;0,379;0,327
-9,468;0,324;0,777
-5,452;0,876;0,000754
-7,816;0,413;0,836
-4,612;0,78;0,0239
-5,297;0,904;0,000385
-2,293;0,982;9,11e-5
-5,679;0,63;0,000713
-4,994;0,788;0,00257
-13,059;0,576;0,0218
-5,985;0,878;0,00287
-3,126;0,671;0,243
-7,529;0,853;0,00235
-5,987;0,646;0,0166
-5,12;0,947;0,0185
-5,234;0,961;0,000525
-3,435;0,94;0,000211
-5,597;0,712;0,289
-10,633;0,711;0,526
-4,744;0,959;0,316
-6,169;0,944;0,000132
-4,329;0,753;0,179
-14,161;0,14;0,979
-4,083;0,74;0,0115
-2,948;0,974;0,00067
-8,282;0,811;0,00118
-6,676;0,77;0,193
-8,786;0,659;0,0514
-4,842;0,913;1,02e-5
-13,973;0,114;0,941
-10,839;0,554;0,00541
-7,965;0,578;0,000224
-6,763;0,787;0,00131
-10,798;0,654;0,694
-4,34;0,856;0,0187
-10,13;0,609;0,397
-3,59;0,807;0,0052
-6,42;0,575;0,602
-6,248;0,623;0,000439
-5,678;0,747;0,041
-4,157;0,972;0,00114
-5,733;0,856;0,0223
-12,203;0,689;0,607
-6,285;0,507;0,00456
-4,557;0,956;0,00465
-3,632;0,953;0,000719
-9,37;0,511;0,647
-2,827;0,859;0,00201
-7,496;0,546;0,189
-9,251;0,756;0,0371
-7,502;0,664;0,541
-11,969;0,684;0,0423
-11,5;0,287;0,237
-10,89;0,56;0,00428
-10,13;0,532;0,157
-7,379;0,812;0,00306
-3,881;0,912;0,0014
-10,764;0,677;0,122
-5,082;0,806;0,668
-4,395;0,946;0,0122
-6,399;0,578;0,631
-10,547;0,405;0,487
-5,413;0,598;0,0146
-3,866;0,974;0,000266
-6,798;0,636;0,0837
-8,688;0,65;0,282
-8,747;0,625;0,144
-12,505;0,345;0,425
-12,076;0,249;0,86
-8,393;0,596;0,133
-9,05;0,656;0,000865
-13,679;0,49;0,00932
-7,521;0,804;0,265
-8,995;0,613;0,0523
-9,111;0,485;0,517
-5,157;0,696;0,0272
-10,661;0,752;0,00847
-7,38;0,751;0,0129
-5,589;0,798;0,136
-13,048;0,416;0,299
-7,016;0,715;0,0175
-6,777;0,725;0,0651
-9,458;0,483;0,499
-8,821;0,663;0,000409
-12,366;0,404;0,588
-4,109;0,878;0,00315
-9,728;0,386;0,51
-11,782;0,41;0,587
-4,941;0,91;1,54e-5
-4,629;0,832;0,364
-10,855;0,528;0,0714
-14,222;0,401;0,275
-5,747;0,751;0,00604
-6,866;0,928;9,48e-6
-5,313;0,583;0,052
-8,625;0,744;0,646
-10,437;0,716;0,00905
-3,064;0,947;0,591
-5,035;0,989;1,54e-5
-5,373;0,853;0,132
-4,534;0,866;0,000368
-6,493;0,606;0,00962
-4,739;0,768;0,000122
-3,341;0,864;0,055
-3,893;0,845;5,62e-5
-10,687;0,322;0,367
-9,254;0,888;0,14
-3,925;0,706;0,0143
-5,545;0,747;0,0272
-6,592;0,886;0,00158
-10,437;0,716;0,00905
-5,257;0,445;0,275
-9,335;0,546;0,738
-10,927;0,396;0,425
-8,346;0,679;0,269
-5,603;0,65;0,282
-5,05;0,771;0,00906
-4,272;0,973;2,11e-5
-5,777;0,898;0,00835
-12,681;0,224;0,835
-4,755;0,984;6,25e-6
-6,53;0,824;0,155
-1,101;0,991;0,38
-7,292;0,811;0,0321
-4,123;0,84;0,0295
-3,463;0,98;0,000172
-9,116;0,571;0,378
-14,201;0,455;0,39
-10,422;0,45;0,704
-7,773;0,34;0,218
-6,951;0,953;0,000291
-3,237;0,985;0,000187
-11,979;0,568;0,226
-9,37;0,382;0,518
-10,458;0,686;0,288
-7,067;0,604;0,0159
-6,078;0,598;0,0349
-7,785;0,746;0,0223
-6,83;0,852;0,000251
-9,954;0,884;0,02
-2,479;0,757;0,000577
-2,154;0,943;0,0068
-9,65;0,612;0,367
-11,908;0,412;0,00795
-10,674;0,475;0,258
-4,851;0,97;9,04e-5
-3,951;0,951;2,22e-5
-13,925;0,33;0,245
-7,97;0,939;0,0065
-6,962;0,646;0,0093
-11,546;0,856;6,98e-5
-6,785;0,612;0,0406
-4,65;0,591;0,00252
-5,991;0,758;0,0267
-3,426;0,815;0,00608
-7,42;0,787;0,295
-7,701;0,427;0,948
-9,871;0,606;0,0392
-10,16;0,763;0,578
-9,884;0,667;0,000272
-5,213;0,617;0,0941
-8,119;0,381;0,797
-6,096;0,776;0,0643
-4,991;0,785;0,00165
-6,044;0,688;0,00402
-6,433;0,685;0,0134
-7,144;0,895;0,0156
-6,995;0,992;0,107
-4,997;0,665;0,407
-5,686;0,749;0,603
-7,759;0,512;0,569
-14,309;0,339;0,775
-14,485;0,461;0,148
-5,659;0,628;0,0534
-13,749;0,269;0,995
-6,289;0,919;0,181
-3,894;0,831;0,000127
-6,664;0,562;0,526
-3,842;0,753;0,123
-5,957;0,875;0,0159
-12,319;0,477;0,6
-15,026;0,295;0,811
-5,841;0,695;0,0402
-10,666;0,617;0,645
-15,886;0,208;0,896
-8,619;0,835;1,32e-5
-8,79;0,669;0,0274
-5,006;0,97;3,72e-5
-8,611;0,585;0,974
-12,489;0,331;0,994
-5,871;0,851;0,392
-7,163;0,639;0,359
-12,981;0,385;0,62
-3,982;0,857;4,67e-5
-5,051;0,855;0,179
-7,246;0,759;0,0569
-5,356;0,565;0,0631
-4,573;0,88;1,37e-5
-8,603;0,266;0,791
-5,478;0,864;0,000453
-7,077;0,77;0,0004
-9,88;0,435;0,461
-8,86;0,342;0,748
-10,061;0,336;0,0403
-10,582;0,739;0,0102
-9,457;0,826;0,0305
-4,331;0,59;0,477
-9,11;0,484;0,000334
-14,043;0,545;0,586
-6,852;0,632;0,0206
-3,79;0,835;0,0001
-8,14;0,485;0,733
-15,357;0,117;0,99
-3,125;0,982;0,0221
-6,822;0,712;0,135
-12,18;0,164;0,924
-6,504;0,953;0,0546
-12,622;0,333;0,0835
-5,705;0,915;1,69e-5
-4,322;0,968;5,49e-5
-11,312;0,678;0,0132
-3,3;0,927;0,000297
-6,691;0,64;0,29
-8,55;0,927;0,0029
-7,057;0,733;0,0823
-4,651;0,912;3,36e-6
-5,83;0,807;0,0147
-7,574;0,806;0,125
-3,492;0,964;3,18e-5
-6,296;0,858;0,00757
-6,268;0,611;0,0226
-12,768;0,766;0,0249
-11,231;0,382;0,884
-4,927;0,96;0,0344
-8,101;0,686;9,78e-5
-2,683;0,904;0,195
-4,203;0,665;0,06
-7,929;0,695;0,00298
-8,795;0,358;0,85
-7,206;0,818;0,00398
-5,192;0,724;0,102
-4,349;0,672;0,108
-9,538;0,447;0,901
-9,113;0,593;0,584
-7,829;0,812;4,75e-5
-4,33;0,876;0,0176
-4,521;0,981;2,05e-5
-8,318;0,916;0,00573
-4,251;0,877;0,000542
-4,802;0,915;0,000273
-6,457;0,686;0,0405
-6,816;0,971;0,000656
-3,31;0,896;7,97e-5
-6,64;0,61;0,338
-4,345;0,71;0,0406
-9,636;0,568;1,04e-5
-3,315;0,845;3,28e-6
-5,857;0,717;6,48e-5
-5,824;0,771;0,000142
-5,536;0,781;0,262
-3,951;0,986;7,89e-6
-3,934;0,947;0,00386
-7,45;0,407;0,312
-7,557;0,964;1,84e-6
-4,568;0,978;2,93e-5
-8,312;0,41;0,688
-10,71;0,912;0,00162
-5,376;0,951;5,99e-5
-8,676;0,452;0,162
-7,305;0,432;0,461
-7,364;0,429;0,818
-8,917;0,482;0,0266
-6,638;0,413;0,985
-6,939;0,848;0,00381
-5,318;0,533;0,00279
-8,396;0,503;0,0604
-7,683;0,836;0,0179
-6,753;0,548;0,0213
-9,859;0,931;2,16e-5
-6,625;0,765;0,282
-9,296;0,737;0,0349
-11,191;0,481;0,829
-13,68;0,239;0,714
-11,381;0,392;0,366
-12,84;0,409;0,19
-8,835;0,783;3,65e-5
-9,296;0,737;0,0349
-7,899;0,577;0,0139
-4,111;0,973;0,0156
-7,159;0,542;0,147
-14,14;0,489;0,0224
-4,944;0,748;0,00651
-8,022;0,493;0,861
-9,336;0,841;0,00112
-5,569;0,632;0,0126
-9,273;0,726;0,000726
-8,46;0,529;0,728
-9,199;0,548;0,538
-11,072;0,534;0,68
-8,139;0,824;0,00726
-4,975;0,931;0,0174
-6,891;0,834;0,00138
-7,435;0,779;0,0236
-11,786;0,909;2,08e-5
-6,84;0,645;0,399
-8,883;0,562;0,0836
-15,418;0,288;0,865
-3,124;0,901;0,00987
-10,381;0,407;0,842
-5,466;0,814;0,00115
-5,082;0,977;0,000618
-5,875;0,922;0,501
-7,679;0,723;0,349
-7,442;0,676;0,219
-5,407;0,992;1,88e-5
-14,392;0,545;0,764
-5,452;0,891;0,000805
-7,489;0,363;0,0126
-4,314;0,826;0,00064
-8,833;0,411;0,555
-4,599;0,721;0,0047
-13,014;0,7;0,0353
-5,524;0,85;0,0493
-10,196;0,913;6,59e-5
-6,463;0,752;0,229
-4,442;0,956;0,00124
-6,501;0,838;0,0327
-4,654;0,976;1,17e-5
-7,191;0,527;0,0192
-2,173;0,922;0,00558
-5,467;0,98;0,000177
-5,554;0,903;4,25e-5
-8,7;0,759;0,00755
-5,378;0,926;1,27e-5
-13,176;0,701;0,29
-7,76;0,716;0,2
-5,825;0,871;0,000197
-5,913;0,404;0,453
-5,943;0,572;0,0019
-12,765;0,406;0,119
-4,742;0,872;0,0864
-5,457;0,721;0,0149
-6,823;0,57;0,761
-8,521;0,484;0,9
-5,82;0,756;0,157
-9,657;0,471;0,658
-6,326;0,853;0,0245
-9,038;0,515;0,0339
-10,783;0,272;0,904
-3,47;0,851;0,00881
-3,715;0,974;2,26e-6
-5,055;0,929;7,36e-5
-9,556;0,53;0,739
-7,04;0,756;0,00229
-7,44;0,658;0,258
-8,215;0,57;0,194
-7,246;0,759;0,0569
-9,449;0,553;0,0492
-3,97;0,969;0,000114
-10,711;0,613;0,0104
-4,164;0,855;0,000247
-5,094;0,776;0,0315
-7,797;0,727;0,00336
-5,415;0,549;0,0209
-6,32;0,586;0,446
-8,899;0,611;0,127
-7,143;0,803;0,0172
-7,715;0,827;0,0411
-6,765;0,961;1,52e-5
-6,302;0,645;0,358
-11,066;0,315;0,939
-8,691;0,828;0,00213
-5,445;0,937;0,000429
-6,289;0,919;0,181
-1,851;0,852;0,0404
-4,544;0,902;0,00419
-5,792;0,991;7,19e-6
-2,699;0,949;3,59e-5
-12,98;0,642;0,926
-6,195;0,647;0,483
-12,555;0,307;0,398
-7,859;0,62;0,672
-4,319;0,979;0,000188
-7,667;0,571;0,157
-5,146;0,873;5,99e-5
-7,084;0,891;0,000262
-13,51;0,0952;0,91
-2,1;0,996;5,63e-5
-6,989;0,537;0,39
-15,929;0,53;0,14
-10,741;0,464;0,635
-5,14;0,933;6,86e-5
-3,094;0,913;3,92e-5
-10,727;0,637;0,0429
-5,238;0,943;3,69e-5
-11,603;0,593;0,635
-7,911;0,707;0,0362
-1,843;0,898;0,00293
-10,829;0,403;0,183
-3,899;0,782;0,0953
-13,854;0,199;0,839
-8,641;0,729;0,37
-5,22;0,932;1,57e-5
-8,366;0,772;0,124
-8,725;0,49;0,736
-8,27;0,854;0,478
-5,163;0,839;0,0261
-7,9;0,759;0,0125
-6,315;0,714;0,00901
-12,982;0,35;0,347
-7,322;0,772;0,183
-4,878;0,753;0,549
-11,217;0,585;0,678
-7,67;0,473;0,326
-9,845;0,639;0,126
-10,023;0,794;0,0614
-11,056;0,41;0,658
-5,797;0,662;0,00301
-10,066;0,449;0,907
-7,738;0,496;0,00079
-13,311;0,569;0,063
-6,986;0,552;0,464
-12,021;0,647;4,14e-5
-11,261;0,402;0,228
-10,028;0,767;0,123
-5,69;0,846;0,00415
-7,469;0,908;9,01e-5
-4,441;0,964;7,13e-5
-6,96;0,88;0,000304
-10,989;0,347;0,456
-4,339;0,977;0,00013
-5,716;0,964;9,77e-5
-3,858;0,937;0,0198
-5,197;0,957;0,00097
-7,367;0,776;0,000239
-7,262;0,791;0,00835
-7,328;0,761;0,154
-7,484;0,621;0,445
-9,15;0,802;0,00469
-4,104;0,88;9,38e-5
-3,427;0,753;0,0173
-3,526;0,837;0,00172
-14,138;0,164;0,974
-4,815;0,672;0,00353
-9,16;0,367;0,586
-9,803;0,616;0,0704
-6,045;0,801;0,0043
-8,08;0,72;0,0496
-14,453;0,0518;0,82
-6,196;0,911;0,00161
-9,24;0,614;0,638
-4,565;0,922;0,00254
-4,815;0,672;0,00353
-6,433;0,511;0,742
-4,227;0,951;0,00233
-9,755;0,313;0,667
-7,297;0,683;0,000823
-6,313;0,926;3,96e-5
-6,938;0,75;0,324
-5,195;0,831;9,12e-5
-7,402;0,655;0,418
-4,331;0,932;0,000943
-7,294;0,39;0,371
-8,733;0,488;0,605
-6,552;0,899;0,0028
-5,857;0,892;1,74e-6
-9,552;0,665;0,428
-12,557;0,381;0,285
-10,374;0,662;0,00352
-10,051;0,528;0,044
-4,858;0,774;0,218
-7,186;0,808;0,000257
-10,39;0,616;0,0399
-11,661;0,408;0,788
-11,384;0,335;0,0342
-14,446;0,448;0,254
-5,763;0,727;0,00481
-4,193;0,851;1,92e-5
-9,119;0,532;0,432
-6,715;0,731;0,164
-12,5;0,354;0,454
-13,124;0,292;0,889
-10,18;0,835;0,365
-6,53;0,577;0,488
-2,341;0,978;1,21e-5
-7,474;0,621;0,00591
-6,867;0,908;0,00194
-5,541;0,881;5,99e-5
-7,647;0,811;0,068
-14,641;0,288;0,895
-3,837;0,718;0,179
-13,766;0,401;0,348
-6,655;0,901;9,22e-5
-6,148;0,936;0,000621
-1,933;0,841;0,46
-8,241;0,701;0,172
-8,303;0,744;8,44e-5
-5,143;0,97;0,214
-4,212;0,927;6,2e-5
-5,409;0,978;0,00176
-3,01;0,967;2,79e-6
-2,1;0,97;0,192
